Title,Year,Genre,Director,Lead Actor,Production Company,Runtime (min),Country of Origin,Original Language,Gross Revenue (million),Success
Hidden Figures,2016,"Biography,Drama",Ted Melfi,Taraji P. Henson,20th Century Fox,127,USA,English,236.2,1
Jojo Rabbit,2019,Comedy,Taika Waititi,Roman Griffin Davis,Fox Searchlight,108,New Zealand / USA,English,90.3,0
Tenet,2020,"Sci-Fi,Action",Christopher Nolan,John David Washington,Warner Bros.,150,UK / USA,English,363.7,1
Nomadland,2020,Drama,Chloé Zhao,Frances McDormand,Searchlight Pictures,108,USA,English,39.4,0
Soul,2020,"Animation,Comedy",Pete Docter,Jamie Foxx,Pixar Animation Studios,100,USA,English,307.0,1
The Irishman,2019,"Crime,Drama",Martin Scorsese,Robert De Niro,Netflix,209,USA,English,8.0,0
Minari,2020,Drama,Lee Isaac Chung,Steven Yeun,A24,115,USA,English / Korean,39.9,0
Knives Out,2019,"Mystery,Comedy",Rian Johnson,Daniel Craig,Lionsgate,130,USA,English,311.4,1
Ford v Ferrari,2019,"Action,Biography",James Mangold,Matt Damon,20th Century Fox,152,USA,English,225.5,0
Once Upon a Time in Hollywood,2019,"Comedy,Drama",Quentin Tarantino,Leonardo DiCaprio,Columbia Pictures,161,USA,English,374.3,1
The Lighthouse,2019,"Horror,Drama",Robert Eggers,Robert Pattinson,A24,110,USA,English,18.0,0
Promising Young Woman,2020,Thriller,Emerald Fennell,Carey Mulligan,Focus Features,113,UK / USA,English,60.1,0
Dune: Part Two,2023,"Sci-Fi,Adventure",Denis Villeneuve,Timothée Chalamet,Legendary Pictures,155,USA / Canada,English,0.0,0
Avatar: The Way of Water,2022,"Action,Adventure",James Cameron,Sam Worthington,20th Century Studios,192,USA,English,2231.0,1
The Departed,2006,Crime,Martin Scorsese,Leonardo DiCaprio,Warner Bros.,151,USA,English,291.5,1
No Country for Old Men,2007,Thriller,Joel Coen,Josh Brolin,Paramount Vantage,122,USA,English,171.6,0
The Social Network,2010,Biography,David Fincher,Jesse Eisenberg,Columbia Pictures,120,USA,English,224.9,0
Toy Story,1995,Animation,John Lasseter,Tom Hanks,Pixar Animation Studios,81,USA,English,394.0,1
Seven Samurai,1954,Action,Akira Kurosawa,Toshiro Mifune,Toho Co.,207,Japan,Japanese,0.3,0
Goodfellas,1990,Crime,Martin Scorsese,Robert De Niro,Warner Bros.,146,USA,English,47.1,0
The Silence of the Lambs,1991,Thriller,Jonathan Demme,Jodie Foster,Orion Pictures,118,USA,English,272.7,1
Forrest Gump,1994,Drama,Robert Zemeckis,Tom Hanks,Paramount Pictures,142,USA,English,678.2,1
The Lord of the Rings: The Fellowship of the Ring,2001,Fantasy,Peter Jackson,Elijah Wood,New Line Cinema,178,New Zealand,English,888.3,1
Terminator 2: Judgment Day,1991,Sci-Fi,James Cameron,Arnold Schwarzenegger,Carolco Pictures,137,USA,English,520.9,1
Jurassic Park,1993,Adventure,Steven Spielberg,Sam Neill,Universal Pictures,127,USA,English,1040.2,1
Back to the Future,1985,Sci-Fi,Robert Zemeckis,Michael J. Fox,Universal Pictures,116,USA,English,388.9,1
Alien,1979,Horror,Ridley Scott,Sigourney Weaver,20th Century Fox,117,USA,English,106.3,0
Aliens,1986,Action,James Cameron,Sigourney Weaver,20th Century Fox,137,USA,English,131.1,0
Die Hard,1988,Action,John McTiernan,Bruce Willis,20th Century Fox,132,USA,English,141.5,0
Indiana Jones: Raiders of the Lost Ark,1981,Adventure,Steven Spielberg,Harrison Ford,Paramount Pictures,115,USA,English,390.0,1
E.T. the Extra-Terrestrial,1982,Sci-Fi,Steven Spielberg,Henry Thomas,Universal Pictures,115,USA,English,792.9,1
The Shining,1980,Horror,Stanley Kubrick,Jack Nicholson,Warner Bros.,146,USA,English,47.0,0
Fight Club,1999,Drama,David Fincher,Brad Pitt,20th Century Fox,139,USA,English,101.2,0
The Big Lebowski,1998,Comedy,Joel Coen,Jeff Bridges,Gramercy Pictures,117,USA,English,46.7,0
The Princess Bride,1987,Adventure,Rob Reiner,Cary Elwes,20th Century Fox,98,USA,English,30.9,0
Reservoir Dogs,1992,Crime,Quentin Tarantino,Harvey Keitel,Live Entertainment,99,USA,English,2.9,0
Trainspotting,1996,Drama,Danny Boyle,Ewan McGregor,Figment Films,93,UK,English,72.0,0
Snatch,2000,Comedy,Guy Ritchie,Jason Statham,SKA Films,104,UK,English,83.6,0
The Full Monty,1997,Comedy,Peter Cattaneo,Robert Carlyle,Redwave Films,91,UK,English,257.9,1
Cinema Paradiso,1988,Drama,Giuseppe Tornatore,Salvatore Cascio,Cristaldifilm,155,Italy,Italian,12.4,0
Amadeus,1984,Biography,Miloš Forman,F. Murray Abraham,The Saul Zaentz Company,160,USA,English,52.0,0
A Clockwork Orange,1971,Sci-Fi,Stanley Kubrick,Malcolm McDowell,Warner Bros.,136,UK,English,26.6,0
Blade Runner,1982,Sci-Fi,Ridley Scott,Harrison Ford,The Ladd Company,117,USA,English,41.8,0
"The Good, the Bad and the Ugly",1966,Western,Sergio Leone,Clint Eastwood,Produzioni Europee Associati,178,Italy,Italian,38.9,0
Once Upon a Time in the West,1968,Western,Sergio Leone,Henry Fonda,Paramount Pictures,165,Italy,Italian,5.3,0
Yojimbo,1961,Action,Akira Kurosawa,Toshiro Mifune,Toho Co.,110,Japan,Japanese,0.5,0
The Seventh Seal,1957,Fantasy,Ingmar Bergman,Max von Sydow,Svensk Filmindustri,96,Sweden,Swedish,0.2,0
Breathless,1960,Crime,Jean-Luc Godard,Jean-Paul Belmondo,Les Productions Georges de Beauregard,90,France,French,0.1,0
The 400 Blows,1959,Drama,François Truffaut,Jean-Pierre Léaud,Les Films du Carrosse,99,France,French,0.5,0
Rashomon,1950,Crime,Akira Kurosawa,Toshiro Mifune,Dai Film,88,Japan,Japanese,0.1,0
Psycho,1960,Horror,Alfred Hitchcock,Anthony Perkins,Shamley Productions,109,USA,English,50.0,0
The Apartment,1960,Comedy,Billy Wilder,Jack Lemmon,The Mirisch Corporation,125,USA,English,24.6,0
Dr. Strangelove,1964,Satire,Stanley Kubrick,Peter Sellers,Columbia Pictures,95,UK,English,9.4,0
The Great Escape,1963,Adventure,John Sturges,Steve McQueen,The Mirisch Corporation,172,USA,English,12.1,0
Butch Cassidy and the Sundance Kid,1969,Western,George Roy Hill,Paul Newman,20th Century Fox,110,USA,English,102.3,0
The Sting,1973,Crime,George Roy Hill,Paul Newman,Universal Pictures,129,USA,English,159.6,0
Chinatown,1974,Noir,Roman Polanski,Jack Nicholson,Paramount Pictures,130,USA,English,29.2,0
Taxi Driver,1976,Drama,Martin Scorsese,Robert De Niro,Columbia Pictures,114,USA,English,28.6,0
Annie Hall,1977,Comedy,Woody Allen,Woody Allen,United Artists,93,USA,English,44.3,0
Apocalypse Now,1979,War,Francis Ford Coppola,Martin Sheen,United Artists,147,USA,English,96.5,0
Raging Bull,1980,Biography,Martin Scorsese,Robert De Niro,United Artists,129,USA,English,23.4,0
Blade Runner 2049,2017,Sci-Fi,Denis Villeneuve,Ryan Gosling,Columbia Pictures,164,USA,English,267.7,1
Dunkirk,2017,War,Christopher Nolan,Fionn Whitehead,Warner Bros.,106,UK,English,527.0,1
Get Out,2017,Horror,Jordan Peele,Daniel Kaluuya,Blumhouse Productions,104,USA,English,255.5,1
The Power of the Dog,2021,Drama,Jane Campion,Benedict Cumberbatch,See-Saw Films,126,New Zealand,English,0.3,0
Everything Everywhere All at Once,2022,Action,Daniel Kwan,Michelle Yeoh,A24,139,USA,English,141.2,0
The Banshees of Inisherin,2022,Comedy,Martin McDonagh,Colin Farrell,Film4 Productions,114,Ireland,English,49.0,0
RRR,2022,Action,S. S. Rajamouli,N.T. Rama Rao Jr.,DVV Entertainment,187,India,Telugu,159.0,0
Top Gun: Maverick,2022,Action,Joseph Kosinski,Tom Cruise,Paramount Pictures,130,USA,English,1494.5,1
Coco,2017,"Animation, Adventure",Lee Unkrich,Anthony Gonzalez,Pixar Animation Studios,105,USA,English,807.8,1
